City,State Code,State Name
Nandyal,28,ANDHRA PRADESH
Nangloi Jat,7,NCT OF DELHI
Narasaraopet,28,ANDHRA PRADESH
Nashik,27,MAHARASHTRA
Navi Mumbai,27,MAHARASHTRA
Navi Mumbai Panvel Raigarh,27,MAHARASHTRA
Navsari,24,GUJARAT
Neemuch,23,MADHYA PRADESH
Nellore,28,ANDHRA PRADESH
New Delhi,7,NCT OF DELHI
Neyveli,33,TAMIL NADU
Nizamabad,28,ANDHRA PRADESH
Noida,9,UTTAR PRADESH
North Barrackpur,19,WEST BENGAL
North Dum Dum,19,WEST BENGAL
Ongole,28,ANDHRA PRADESH
Orai,9,UTTAR PRADESH
Osmanabad,27,MAHARASHTRA
Ozhukarai,34,PUDUCHERRY
Palakkad,32,KERALA
Palanpur,24,GUJARAT
Pali,8,RAJASTHAN
Pallavaram,33,TAMIL NADU
Palwal,6,HARYANA
Panchkula,6,HARYANA
Panihati,19,WEST BENGAL
Panipat,6,HARYANA
Panvel,27,MAHARASHTRA
Parbhani,27,MAHARASHTRA
Patan,24,GUJARAT
Pathankot,3,PUNJAB
Patiala,3,PUNJAB
Patna,10,BIHAR
Pilibhit,9,UTTAR PRADESH
Pimpri Chinchwad,27,MAHARASHTRA
Pithampur,23,MADHYA PRADESH
Porbandar,24,GUJARAT
Port Blair,35,ANDAMAN & NICOBAR ISLANDS
Proddatur,28,ANDHRA PRADESH
Puducherry,34,PUDUCHERRY
Pudukkottai,33,TAMIL NADU
Pune,27,MAHARASHTRA
Puri,21,ORISSA
Purnia,10,BIHAR
Puruliya,19,WEST BENGAL
Rae Bareli,9,UTTAR PRADESH
Raichur,29,KARNATAKA
Raiganj,19,WEST BENGAL
Raigarh,22,CHHATTISGARH
Raipur,22,CHHATTISGARH
Rajahmundry,28,ANDHRA PRADESH
Rajapalayam,33,TAMIL NADU
Rajarhat Gopalpur,19,WEST BENGAL
Rajkot,24,GUJARAT
Rajnandgaon,22,CHHATTISGARH
Rajpur Sonarpur,19,WEST BENGAL
Ramagundam,28,ANDHRA PRADESH
Rampur,9,UTTAR PRADESH
Ranchi,20,JHARKHAND
Ranibennur,29,KARNATAKA
Raniganj,19,WEST BENGAL
Ratlam,23,MADHYA PRADESH
Raurkela Industrial Township,21,ORISSA
Raurkela Town,21,ORISSA
Rewa,23,MADHYA PRADESH
Rewari,6,HARYANA
Rishra,19,WEST BENGAL
Robertson Pet,29,KARNATAKA
Rohtak,6,HARYANA
Roorkee,5,UTTARAKHAND
Rudrapur,5,UTTARAKHAND
S.A.S. Nagar,3,PUNJAB
Sagar,23,MADHYA PRADESH
Saharanpur,9,UTTAR PRADESH
Saharsa,10,BIHAR
Salem,33,TAMIL NADU
Sambalpur,21,ORISSA
Sambhal,9,UTTAR PRADESH
Sangli Miraj Kupwad,27,MAHARASHTRA
Santipur,19,WEST BENGAL
Sasaram,10,BIHAR
Satara,27,MAHARASHTRA
Satna,23,MADHYA PRADESH
Sawai Madhopur,8,RAJASTHAN
Secunderabad,28,ANDHRA PRADESH
Sehore,23,MADHYA PRADESH
Seoni,23,MADHYA PRADESH
Serampore,19,WEST BENGAL
Shahjahanpur,9,UTTAR PRADESH
Shamli,9,UTTAR PRADESH
Shikohabad,9,UTTAR PRADESH
Shillong,17,MEGHALAYA
Shimla,2,HIMACHAL PRADESH
Shimoga,29,KARNATAKA
Shivpuri,23,MADHYA PRADESH
Sikar,8,RAJASTHAN
Silchar,18,ASSAM
Siliguri,19,WEST BENGAL
Singrauli,23,MADHYA PRADESH
Sirsa,6,HARYANA
Sitapur,9,UTTAR PRADESH
Siwan,10,BIHAR
Solapur,27,MAHARASHTRA
Sonipat,6,HARYANA
South Dum Dum,19,WEST BENGAL
Srikakulam,28,ANDHRA PRADESH
Srinagar,1,JAMMU & KASHMIR
Sujangarh,8,RAJASTHAN
Sultan Pur Majra,7,NCT OF DELHI
Sultanpur,9,UTTAR PRADESH
Surat,24,GUJARAT
Surendranagar Dudhrej,24,GUJARAT
Suryapet,28,ANDHRA PRADESH
Tadepalligudem,28,ANDHRA PRADESH
Tadpatri,28,ANDHRA PRADESH
Tambaram,33,TAMIL NADU
Tenali,28,ANDHRA PRADESH
Thane,27,MAHARASHTRA
Thanesar,6,HARYANA
Thanjavur,33,TAMIL NADU
Thiruvananthapuram,32,KERALA
Thoothukkudi,33,TAMIL NADU
Thrissur,32,KERALA
Tiruchirappalli,33,TAMIL NADU
Tirunelveli,33,TAMIL NADU
Tirupati,28,ANDHRA PRADESH
Tiruppur,33,TAMIL NADU
Tiruvannamalai,33,TAMIL NADU
Tiruvottiyur,33,TAMIL NADU
Titagarh,19,WEST BENGAL
Tonk,8,RAJASTHAN
Tumkur,29,KARNATAKA
Udaipur,8,RAJASTHAN
Udgir,27,MAHARASHTRA
Udupi,29,KARNATAKA
Ujjain,23,MADHYA PRADESH
Ulhasnagar,27,MAHARASHTRA
Uluberia,19,WEST BENGAL
Unnao,9,UTTAR PRADESH
Uttarpara Kotrung,19,WEST BENGAL
Vadodara,24,GUJARAT
Valsad,24,GUJARAT
Varanasi,9,UTTAR PRADESH
Vasai Virar City,27,MAHARASHTRA
Vellore,33,TAMIL NADU
Veraval,24,GUJARAT
Vidisha,23,MADHYA PRADESH
Vijayawada,28,ANDHRA PRADESH
Visakhapatnam,28,ANDHRA PRADESH
Vizianagaram,28,ANDHRA PRADESH
Warangal,28,ANDHRA PRADESH
Wardha,27,MAHARASHTRA
Yamunanagar,6,HARYANA
Yavatmal,27,MAHARASHTRA
